"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Dangriga Airport,Dangriga,Belize,,DGA,"",16.966667,-88.216667,10,5857,,-6.0,U,,airport,User,7287,,,,America/Belize
Placencia Airport,Placencia,Belize,,PLJ,"",16.536944,-88.361667,42,5858,,-6.0,U,,airport,User,7288,,,,America/Belize
Sartaneja Airport,Sarteneja,Belize,,SJX,"",18.355556,-88.130833,10,5859,,-6.0,U,,airport,User,7289,,,,America/Belize
Huehuetenango Airport,Huehuetenango,Guatemala,,"","",15.314722,-91.476111,1901,5860,,-6.0,U,,airport,User,7290,,,,America/Guatemala
Corn Island,Corn Island,Nicaragua,,RNI,MNCI,12.1628999710083,-83.06379699707031,1,5861,,-6.0,U,,airport,OurAirports,7291,,,,America/Managua
San Pedro Airport,Bonanza,Nicaragua,,BZA,MNBZ,13.949999809265137,-84.5999984741211,600,5862,,-6.0,U,,airport,OurAirports,7292,,,,America/Managua
Rosita Airport,Rosita,Nicaragua,,RFS,MNRT,13.889699935913086,-84.40889739990234,193,5863,,-6.0,U,,airport,OurAirports,7293,,,,America/Managua
Siuna,Siuna,Nicaragua,,SIU,MNSI,13.727222442626953,-84.77777862548828,606,5864,,-6.0,U,,airport,OurAirports,7294,,,,America/Managua
Waspam Airport,Waspam,Nicaragua,,WSP,MNWP,14.7391996383667,-83.96939849853516,98,5865,,-6.0,U,,airport,OurAirports,7295,,,,America/Managua
San Carlos,San Carlos,Nicaragua,,NCR,MNSC,11.133399963378906,-84.7699966430664,91,5866,,-6.0,U,,airport,OurAirports,7296,,,,America/Managua
Playa Samara/Carrillo Airport,Carrillo,Costa Rica,,PLD,MRCR,9.8705101013184,-85.481399536133,50,5867,,-6.0,U,,airport,OurAirports,7297,,,,America/Costa_Rica
Fussen,Fussen,Germany,,FUS,FUSS,47.585,10.6866,800,5868,,1.0,U,,unknown,User,7298,,,,Europe/Berlin
John A. Osborne Airport,Montserrat,Montserrat,,"","",16.791389,-62.193333,550,5869,,-4.0,U,,airport,User,7299,,,,America/Montserrat
Monte Plata Batley Juan Sanchez Field,Monte Plata,Dominican Republic,,"",MDJS,18.81,-69.79,1424,5870,,-4.0,U,,unknown,User,7300,,,,America/Santo_Domingo
Constanza - Expedición 14 de Junio National Airport,Constanza,Dominican Republic,,COZ,MDCZ,18.907499313354,-70.721900939941,3950,5871,,-4.0,U,,airport,OurAirports,7301,,,,America/Santo_Domingo
Negril Airport,Negril,Jamaica,,NEG,MKNG,18.34280014038086,-78.33209991455078,9,5872,,-5.0,U,,airport,OurAirports,7302,,,,America/Jamaica
Bochum Railway,Bochum,Germany,,EBO,"",51.478506,7.222781,45,5873,,1.0,U,,station,User,7303,,,,Europe/Berlin
Fliegerhost ,Kaufbeuren,Germany,,KFB,"",47.874,10.6294,680,5874,,1.0,U,,unknown,User,7304,,,,Europe/Berlin
Munich Railway,Munich,Germany,,ZMU,"",48.1408,11.555,500,5875,,1.0,U,,station,User,7305,,,,Europe/Berlin
Nuernberg Railway,Nuernberg,Germany,,ZAQ,"",49.446389,11.081944,312,5876,,1.0,U,,station,User,7306,,,,Europe/Berlin
José Aponte de la Torre Airport,Ceiba,Puerto Rico,,NRR,TJRV,18.245300293,-65.6434020996,38,5877,,-4.0,A,,airport,OurAirports,7307,,,,America/Puerto_Rico
Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,,RLO,"",-32.349803,-65.179932,100,5878,,-3.0,N,,unknown,User,7308,,,,America/Argentina/San_Luis
Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,Virgin Islands,,SPB,VI22,18.338600158691406,-64.9406967163086,0,5879,,-4.0,A,,airport,OurAirports,7309,,,,America/St_Thomas
Christiansted Harbor Seaplane Base,Christiansted,Virgin Islands,,SSB,"",17.747222,-64.705,0,5880,,-4.0,A,,airport,User,7310,,,,America/St_Thomas
D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,,ARR,SAVR,-45.013599,-70.812202,2286,5881,,-3.0,N,,airport,OurAirports,7311,,,,America/Catamarca
Jose De San Martin Airport,Jose de San Martin,Argentina,,JSM,SAWS,-44.048599243199995,-70.4589004517,2407,5882,,-3.0,N,,airport,OurAirports,7312,,,,America/Catamarca
Uyuni Airport,Uyuni,Bolivia,,UYU,SLUY,-20.446300506599997,-66.8483963013,11136,5883,,-4.0,U,,airport,OurAirports,7313,,,,America/La_Paz
Augsburg Railway,Augsburg,Germany,,ZAU,"",48.3655,10.8863,500,5884,,1.0,U,,station,User,7314,,,,Europe/Berlin
Mannheim Railway,Mannheim,Germany,,ZMA,"",49.479633,8.469858,200,5885,,1.0,E,,station,User,7315,,,,Europe/Berlin
Essen Railway,Essen,Germany,,ZES,"",51.451389,7.013889,200,5886,,1.0,U,,station,User,7316,,,,Europe/Berlin
Rurenabaque Airport,Rerrenabaque,Bolivia,,RBQ,SLRQ,-14.427900314299999,-67.4968032837,676,5887,,-4.0,U,,airport,OurAirports,7317,,,,America/La_Paz
